Size,Distribution,Implementation,Threads,Cutoff,BlockSize,Repeats,AvgTime(ms)
1048576,uniform,serial,NA,NA,NA,5,76.2683
1048576,nearly_sorted,serial,NA,NA,NA,5,18.3606
1048576,gaussian,serial,NA,NA,NA,5,72.427
1048576,reversed,serial,NA,NA,NA,5,16.4334
4194304,uniform,serial,NA,NA,NA,5,320.612
4194304,nearly_sorted,serial,NA,NA,NA,5,84.8044
4194304,gaussian,serial,NA,NA,NA,5,320.187
4194304,reversed,serial,NA,NA,NA,5,76.4107
16777216,uniform,serial,NA,NA,NA,5,1435.82
16777216,nearly_sorted,serial,NA,NA,NA,5,379.253
16777216,gaussian,serial,NA,NA,NA,5,1402.56
16777216,reversed,serial,NA,NA,NA,5,384.172
15000000,uniform,serial,NA,NA,NA,5,1285.02
15000000,nearly_sorted,serial,NA,NA,NA,5,347.43
15000000,gaussian,serial,NA,NA,NA,5,1253.93
15000000,reversed,serial,NA,NA,NA,5,341.023
1048576,uniform,omp,1,10000,NA,5,59.7479
1048576,uniform,omp,2,10000,NA,5,31.9796
1048576,uniform,omp,4,10000,NA,5,23.8382
1048576,uniform,omp,8,10000,NA,5,17.1305
1048576,uniform,omp,16,10000,NA,5,17.4137
1048576,nearly_sorted,omp,1,10000,NA,5,27.7446
1048576,nearly_sorted,omp,2,10000,NA,5,16.9483
1048576,nearly_sorted,omp,4,10000,NA,5,11.6749
1048576,nearly_sorted,omp,8,10000,NA,5,8.0362
1048576,nearly_sorted,omp,16,10000,NA,5,8.57237
1048576,gaussian,omp,1,10000,NA,5,59.7184
1048576,gaussian,omp,2,10000,NA,5,32.2516
1048576,gaussian,omp,4,10000,NA,5,23.8016
1048576,gaussian,omp,8,10000,NA,5,16.9511
1048576,gaussian,omp,16,10000,NA,5,14.0791
1048576,reversed,omp,1,10000,NA,5,8.36905
1048576,reversed,omp,2,10000,NA,5,5.28602
1048576,reversed,omp,4,10000,NA,5,4.1591
1048576,reversed,omp,8,10000,NA,5,3.29023
1048576,reversed,omp,16,10000,NA,5,4.07363
4194304,uniform,omp,1,10000,NA,5,271.392
4194304,uniform,omp,2,10000,NA,5,145.156
4194304,uniform,omp,4,10000,NA,5,106.588
4194304,uniform,omp,8,10000,NA,5,75.7916
4194304,uniform,omp,16,10000,NA,5,60.8136
4194304,nearly_sorted,omp,1,10000,NA,5,122.263
4194304,nearly_sorted,omp,2,10000,NA,5,71.8922
4194304,nearly_sorted,omp,4,10000,NA,5,52.8488
4194304,nearly_sorted,omp,8,10000,NA,5,35.9363
4194304,nearly_sorted,omp,16,10000,NA,5,34.9364
4194304,gaussian,omp,1,10000,NA,5,268.988
4194304,gaussian,omp,2,10000,NA,5,142.8
4194304,gaussian,omp,4,10000,NA,5,104.437
4194304,gaussian,omp,8,10000,NA,5,76.9214
4194304,gaussian,omp,16,10000,NA,5,63.5462
4194304,reversed,omp,1,10000,NA,5,44.1119
4194304,reversed,omp,2,10000,NA,5,27.5241
4194304,reversed,omp,4,10000,NA,5,22.2866
4194304,reversed,omp,8,10000,NA,5,21.425
4194304,reversed,omp,16,10000,NA,5,25.5187
16777216,uniform,omp,1,10000,NA,5,1178.41
16777216,uniform,omp,2,10000,NA,5,640.802
16777216,uniform,omp,4,10000,NA,5,474.642
16777216,uniform,omp,8,10000,NA,5,349.376
16777216,uniform,omp,16,10000,NA,5,277.466
16777216,nearly_sorted,omp,1,10000,NA,5,515.913
16777216,nearly_sorted,omp,2,10000,NA,5,322.148
16777216,nearly_sorted,omp,4,10000,NA,5,240.75
16777216,nearly_sorted,omp,8,10000,NA,5,176.562
16777216,nearly_sorted,omp,16,10000,NA,5,161.128
16777216,gaussian,omp,1,10000,NA,5,1167.99
16777216,gaussian,omp,2,10000,NA,5,627.989
16777216,gaussian,omp,4,10000,NA,5,465.417
16777216,gaussian,omp,8,10000,NA,5,340.176
16777216,gaussian,omp,16,10000,NA,5,267.294
16777216,reversed,omp,1,10000,NA,5,244.907
16777216,reversed,omp,2,10000,NA,5,162.623
16777216,reversed,omp,4,10000,NA,5,144.047
16777216,reversed,omp,8,10000,NA,5,138.83
16777216,reversed,omp,16,10000,NA,5,155.77
15000000,uniform,omp,1,10000,NA,5,1070.08
15000000,uniform,omp,2,10000,NA,5,573.811
15000000,uniform,omp,4,10000,NA,5,427.319
15000000,uniform,omp,8,10000,NA,5,312.896
15000000,uniform,omp,16,10000,NA,5,246.928
15000000,nearly_sorted,omp,1,10000,NA,5,465.141
15000000,nearly_sorted,omp,2,10000,NA,5,301.734
15000000,nearly_sorted,omp,4,10000,NA,5,221.504
15000000,nearly_sorted,omp,8,10000,NA,5,158.152
15000000,nearly_sorted,omp,16,10000,NA,5,146.574
15000000,gaussian,omp,1,10000,NA,5,1039.28
15000000,gaussian,omp,2,10000,NA,5,553.215
15000000,gaussian,omp,4,10000,NA,5,420.142
15000000,gaussian,omp,8,10000,NA,5,298.023
15000000,gaussian,omp,16,10000,NA,5,235.449
15000000,reversed,omp,1,10000,NA,5,204.047
15000000,reversed,omp,2,10000,NA,5,137.214
15000000,reversed,omp,4,10000,NA,5,122.034
15000000,reversed,omp,8,10000,NA,5,120.99
15000000,reversed,omp,16,10000,NA,5,136.716
1048576,uniform,cuda,NA,NA,128,5,12.4959
1048576,uniform,cuda,NA,NA,256,5,12.4921
1048576,uniform,cuda,NA,NA,512,5,12.6052
1048576,nearly_sorted,cuda,NA,NA,128,5,12.0902
1048576,nearly_sorted,cuda,NA,NA,256,5,12.0885
1048576,nearly_sorted,cuda,NA,NA,512,5,12.2188
1048576,gaussian,cuda,NA,NA,128,5,12.4549
1048576,gaussian,cuda,NA,NA,256,5,12.4692
1048576,gaussian,cuda,NA,NA,512,5,12.6488
1048576,reversed,cuda,NA,NA,128,5,11.7298
1048576,reversed,cuda,NA,NA,256,5,11.9045
1048576,reversed,cuda,NA,NA,512,5,12.0915
4194304,uniform,cuda,NA,NA,128,5,48.0834
4194304,uniform,cuda,NA,NA,256,5,48.1336
4194304,uniform,cuda,NA,NA,512,5,48.5703
4194304,nearly_sorted,cuda,NA,NA,128,5,46.3456
4194304,nearly_sorted,cuda,NA,NA,256,5,46.2897
4194304,nearly_sorted,cuda,NA,NA,512,5,46.8663
4194304,gaussian,cuda,NA,NA,128,5,47.8654
4194304,gaussian,cuda,NA,NA,256,5,48.086
4194304,gaussian,cuda,NA,NA,512,5,48.5144
4194304,reversed,cuda,NA,NA,128,5,44.4101
4194304,reversed,cuda,NA,NA,256,5,44.3401
4194304,reversed,cuda,NA,NA,512,5,45.1364
16777216,uniform,cuda,NA,NA,128,5,208.986
16777216,uniform,cuda,NA,NA,256,5,207.927
16777216,uniform,cuda,NA,NA,512,5,209.139
16777216,nearly_sorted,cuda,NA,NA,128,5,201.803
16777216,nearly_sorted,cuda,NA,NA,256,5,200.448
16777216,nearly_sorted,cuda,NA,NA,512,5,201.725
16777216,gaussian,cuda,NA,NA,128,5,208.032
16777216,gaussian,cuda,NA,NA,256,5,207.363
16777216,gaussian,cuda,NA,NA,512,5,208.677
16777216,reversed,cuda,NA,NA,128,5,192.789
16777216,reversed,cuda,NA,NA,256,5,191.664
16777216,reversed,cuda,NA,NA,512,5,192.838
15000000,uniform,cuda,NA,NA,128,5,234.755
15000000,uniform,cuda,NA,NA,256,5,234.712
15000000,uniform,cuda,NA,NA,512,5,236.679
15000000,nearly_sorted,cuda,NA,NA,128,5,229.413
15000000,nearly_sorted,cuda,NA,NA,256,5,228.244
15000000,nearly_sorted,cuda,NA,NA,512,5,229.317
15000000,gaussian,cuda,NA,NA,128,5,234.582
15000000,gaussian,cuda,NA,NA,256,5,234.045
15000000,gaussian,cuda,NA,NA,512,5,234.895
15000000,reversed,cuda,NA,NA,128,5,222.825
15000000,reversed,cuda,NA,NA,256,5,220.358
15000000,reversed,cuda,NA,NA,512,5,221.353
